idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.6613112706,0.5325744329,1.4173463406,0.4091226505,0.2758054835,0.2247202251
2,2.9693910983,0.4512421547,1.3399144375,0.2772114366,0.4496615174,0.1764272847
3,3.6950826770,0.4270825263,1.5781052444,0.3083849046,0.4553327261,0.1742802439
4,3.7015629718,0.3414247676,1.2638052772,0.2550854982,0.3769173493,0.1570544297
5,2.6952229734,0.2806293448,0.7563586570,0.1975719288,0.2289949509,0.1380292567
6,3.3261420871,0.6174202388,2.0536274416,0.3833578293,0.5867458418,0.1922400849
7,2.6792486556,0.6065915844,1.6252096870,0.4463774647,0.3273908518,0.2458554939
8,2.7441188568,0.3550887098,0.9744056244,0.2482770869,0.2679660127,0.1346246957
9,3.2719988897,0.3229145598,1.0565760811,0.2298417640,0.2908838118,0.1432040158
10,2.1159130345,0.3603681115,0.7625075844,0.2655218147,0.1847329684,0.1504597869
11,2.7098017102,0.4472060826,1.2118398073,0.3242407627,0.3203080880,0.1885805743
12,2.6115184621,0.3404502853,0.8890922056,0.2592044546,0.2346336055,0.1376468571
13,2.7539953305,0.6537244730,1.8003541461,0.3933738100,0.4440136867,0.2469816912
14,2.6226225396,0.3339596784,0.8758501798,0.2299308934,0.3543476241,0.1386192399
15,3.1562566489,0.3453553732,1.0900301929,0.2491505380,0.3018605007,0.1496490022
16,2.8510997332,0.1787104327,0.5095212671,0.1235724147,0.1201344112,0.0826172854
17,2.4957410059,0.3982669848,0.9939712453,0.2967262089,0.2750995434,0.1820810212
18,2.5766799103,0.3296488980,0.8493996929,0.2524111215,0.2100122516,0.1214876944
19,2.6168735180,0.3682828987,0.9637497646,0.2445829546,0.3640384951,0.1553812288
20,3.0068000103,0.6079500670,1.8279842678,0.4090306110,0.4620666602,0.2645573933
21,4.0055136082,0.3924536299,1.5719783550,0.2627936219,0.4730116703,0.1702048514
22,2.5315006599,0.2928249486,0.7412865507,0.1888188552,0.2333321110,0.1155352157
23,2.5258956947,0.2639410560,0.6666875770,0.2090394036,0.2075943314,0.1028452032
24,2.6686053158,0.3136620931,0.8370403291,0.1978842458,0.2144016753,0.1234738229
25,2.4340940343,0.3522973229,0.8575248120,0.2508849773,0.2552369799,0.1479487768
26,4.1117653491,0.5162889199,2.1228588910,0.4021804985,0.4535567803,0.2084597015
27,3.0802227643,0.3642771659,1.1220548190,0.2914828210,0.3773380195,0.1425779708
28,2.8010977440,0.3537001606,0.9907487220,0.2229747429,0.2206414351,0.1534125030
29,2.9892791037,0.3336489946,0.9973699675,0.2394455895,0.2130789832,0.1487061918
30,2.1094961086,0.3407733614,0.7188600797,0.2197646434,0.1988880147,0.1402848225
31,3.7116651324,0.4633836279,1.7199248546,0.3513570877,0.3756251000,0.1878323365
32,2.4427927255,0.6800774301,1.6612881991,0.3925614117,0.3994099892,0.2932500432
33,2.8746000333,0.3200377545,0.9199805398,0.2230575498,0.2600923968,0.1141098509
34,2.5040884344,0.4571507053,1.1447457940,0.3427122069,0.3119831782,0.2021199774
35,2.8374661145,0.4821106007,1.3679724930,0.3272219512,0.4102021471,0.2223868791
36,2.2303616587,0.2464577611,0.5496899408,0.1746010861,0.1711725698,0.1030685107
37,2.4911137414,0.2444396034,0.6089268550,0.1821460599,0.2061121560,0.0840317061
38,2.3130084303,0.2915088709,0.6742624759,0.1837911351,0.2284003238,0.1175738633
39,2.4605732146,0.3605372952,0.8871284115,0.2349024842,0.2947193577,0.1306762032
40,3.0601205240,0.2822453212,0.8637047002,0.2093807021,0.2939167447,0.1045768700
41,3.0980933794,0.3407104659,1.0555528387,0.2397989189,0.3058134375,0.1398671954
42,3.2463901474,0.2832485614,0.9195353390,0.2096678935,0.2433784832,0.1006080157
43,3.6719945000,0.3077379424,1.1300120320,0.2169649226,0.3921379203,0.1053685681
44,4.9807927728,0.3581236505,1.7837396901,0.2340873520,0.3292754783,0.1312231256
45,3.0946422719,0.5983561017,1.8516980861,0.4238260566,0.4829260207,0.2199026253
46,4.0631102425,0.5468525157,2.2219220575,0.4359814146,0.5149567105,0.1991965224
47,2.9611304409,0.1787347285,0.5292568453,0.1459563143,0.1558487955,0.0629884876
48,2.4152041311,0.3022461484,0.7299861463,0.2042450731,0.2633441697,0.1183205814
49,2.6705567586,0.2399318899,0.6407517301,0.1779143488,0.1540059290,0.0825717912
50,2.8046976429,0.2623145257,0.7357129318,0.1865754868,0.1640677168,0.1002665425
51,2.8173192501,0.4067705167,1.1460024071,0.2375442352,0.2852414787,0.1740645976
52,2.9685363884,0.3917124264,1.1628125915,0.2665160123,0.2795995063,0.1780879410
53,3.5856684932,0.3459335421,1.2404030025,0.2579354164,0.3051929062,0.1463391104
54,2.6585140737,0.4125902887,1.0968770892,0.2684669692,0.2429705557,0.1570737783
55,2.9250646294,0.3672173035,1.0741343458,0.2356692653,0.2124953419,0.1395383867
56,2.7236372501,0.4641663060,1.2642206411,0.2981155456,0.4307216318,0.1714767626
57,3.1120631407,0.2809518173,0.8743397949,0.1892471784,0.2962139545,0.1062200406
58,3.4235632880,0.3827641775,1.3104173860,0.2653900784,0.2738049286,0.1678985052
59,2.5905555521,0.2607758785,0.6755543999,0.1944767417,0.1893125949,0.1081037647
60,2.7707549416,0.2634485038,0.7299512439,0.1948236733,0.2032951187,0.1220565772
61,2.6166082195,0.4238458360,1.1090384982,0.2995375250,0.3330235606,0.1506968571
62,2.9447678798,0.2796740041,0.8235750240,0.2222093003,0.2931283158,0.1079141455
63,3.0651056034,0.4238385842,1.2991100192,0.2906454387,0.3346079245,0.1520361077
64,3.2167402036,0.2484325197,0.7991428739,0.1913902368,0.2401829511,0.1068751809
