idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,1.6876418249,0.2482437887,0.4189466006,0.1895376767,0.0862395272,0.0836752204
2,2.2664562331,0.3806174896,0.8626528817,0.2471519857,0.1441039556,0.1871298187
3,1.7906790604,0.3503702012,0.6274005827,0.2383521153,0.1419576859,0.1252994292
4,1.7614409730,0.3775640429,0.6650567751,0.2232349568,0.1496277100,0.1346888208
5,1.7477050830,0.3747410386,0.6549368180,0.2806908990,0.1627601957,0.1436214207
6,1.7086364995,0.3993099910,0.6822756253,0.2895138447,0.1356255353,0.1585510753
7,1.7565281393,0.3459152871,0.6076099357,0.2296270094,0.1385150414,0.1532381983
8,1.7264762689,0.3492802612,0.6030240821,0.2214013133,0.1370144472,0.1508153537
9,1.9338731001,0.4114508399,0.7956937113,0.2693894533,0.1658944360,0.1558497757
10,1.9802717746,0.3127902807,0.6194097642,0.2417106938,0.1137590885,0.1176532140
11,2.0796006604,0.3278430784,0.6817826824,0.2353325331,0.1175429887,0.1523394029
12,1.7212402737,0.3923470065,0.6753234689,0.2714717275,0.1454079635,0.1563793427
13,1.6283298138,0.3076538982,0.5009620148,0.2165258290,0.1031406474,0.0926975425
14,1.7421878598,0.3368347653,0.5868294389,0.2406268964,0.1364885486,0.1138581649
15,1.5843339856,0.2919496474,0.4625457485,0.2009970452,0.1124747372,0.0900884710
16,1.9456030347,0.3501671057,0.6812861836,0.2434589340,0.1636002770,0.1648100818
17,1.5196380318,0.3068071097,0.4662357523,0.1922439180,0.1049169859,0.1256344226
18,1.6968806038,0.3881754428,0.6586873798,0.2463973605,0.1705941484,0.1449470591
19,1.5038605185,0.3017336491,0.4537653219,0.2066299804,0.1130816338,0.0919215360
20,1.6807004564,0.3565634335,0.5992763254,0.2091712405,0.1512280962,0.1520680761
21,1.7763104741,0.4381802437,0.7783441564,0.2875822696,0.1816055241,0.1772895256
22,1.5341722589,0.4195648405,0.6436847390,0.2925786863,0.1328415663,0.1242698775
23,1.6626711462,0.3608888927,0.6000395489,0.2538121316,0.1349024153,0.1138055732
24,1.7538711011,0.3816966994,0.6694468105,0.2462569600,0.1355299753,0.1400834641
25,1.5812266252,0.2983940192,0.4718285679,0.1827641892,0.1201879498,0.1259184862
26,1.7303107786,0.3563645379,0.6166214010,0.2391759125,0.1735681134,0.1165157153
27,2.4642731246,0.3674701667,0.9055468560,0.2889417623,0.1717174841,0.1919361341
28,1.7712776133,0.4054161662,0.7181045793,0.2337952103,0.1532275880,0.1710619634
29,1.9192383163,0.2942461433,0.5647284726,0.2036501428,0.1086226387,0.1290102488
30,1.9961751381,0.4071839020,0.8128103819,0.3079441857,0.1370108910,0.1781672342
31,1.8511537825,0.3345980660,0.6193924756,0.2518678665,0.1376045288,0.1049283246
32,2.0216895351,0.2440766135,0.4934471354,0.1907977750,0.1000184603,0.1079355301
33,1.3662722831,0.3068280546,0.4192106667,0.1950398824,0.0916080108,0.0906263107
34,1.8191683929,0.3693575438,0.6719235694,0.2670417930,0.1362174871,0.1554707997
35,2.1211030136,0.3532816350,0.7493467406,0.2598788689,0.1494478674,0.1209119658
36,2.0948656281,0.3532528582,0.7400172706,0.2446156394,0.1784862673,0.1567485616
37,1.8783956416,0.4045861943,0.7599729440,0.2914519942,0.1566866170,0.1284920513
38,2.2427824140,0.3634678578,0.8151793195,0.2430797642,0.2309407146,0.1700526513
39,1.9688298016,0.4432899562,0.8727624764,0.3537237205,0.1802182869,0.1420831464
40,2.1033390996,0.3752523919,0.7892830281,0.2667509673,0.1297737359,0.1959535456
41,2.0665036444,0.4077479901,0.8426127075,0.3134804873,0.1954295108,0.2046368461
42,2.2098060350,0.3404546219,0.7523386782,0.2241584452,0.2186330145,0.1142899800
43,2.0055582538,0.2744402200,0.5504058485,0.2103243458,0.1207073153,0.1047013577
44,1.5817867099,0.3085108484,0.4879983598,0.1878030619,0.1032725825,0.1540899533
45,1.6688691078,0.2948709155,0.4921009617,0.2091071966,0.1019729481,0.1228931244
46,1.5537216914,0.2794205262,0.4341417325,0.1771623716,0.1089453171,0.1262379914
47,1.7717219925,0.4385021753,0.7769039478,0.3213460638,0.1853336843,0.1584005017
48,2.0330727237,0.3061549447,0.6224352673,0.2367142391,0.1558743894,0.1270540502
49,1.4494990342,0.3097321846,0.4489565024,0.1717913497,0.1003637493,0.1380069935
50,1.6238314315,0.3030202933,0.4920538767,0.1921543912,0.1113215887,0.1274279016
51,1.5838212676,0.2944753540,0.4663963285,0.1855388116,0.1390714806,0.1055467595
52,2.1094976376,0.2748247249,0.5797421079,0.2064403777,0.1355674915,0.1145039206
53,1.9206447633,0.3836023718,0.7367638867,0.2888802112,0.1233384904,0.1796972288
54,1.9263659545,0.3170359371,0.6107272356,0.2502890539,0.1396826379,0.1332387659
55,1.8354259800,0.3159829046,0.5799632323,0.2448991367,0.1435898652,0.1231233781
56,1.8247702967,0.3889888776,0.7098153496,0.2530098737,0.1627552956,0.1699934147
57,1.8632231848,0.3362626674,0.6265323981,0.2680498608,0.1399224488,0.1374745480
58,2.1132088721,0.3694866133,0.7808023894,0.2909936343,0.1218394493,0.1487667221
59,1.7920227244,0.3644571682,0.6531155276,0.2901173238,0.1614472694,0.1688844491
60,1.8882803266,0.3466330700,0.6545404066,0.2661836642,0.1373282174,0.1496478285
61,1.8962384228,0.3175192156,0.6020921366,0.2414155709,0.1065535298,0.1264730546
62,2.0806213213,0.3620784058,0.7533480512,0.2737498356,0.1757983405,0.1622620115
63,1.8762999336,0.2945415749,0.5526483375,0.2278833653,0.1063014522,0.1073978016
64,1.9668260222,0.3263840436,0.6419406301,0.2194737868,0.1507453086,0.1278122583
