idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,1.7226239392,0.3512580571,0.6050855380,0.2510266683,0.1167210311,0.1168582707
2,2.4345975622,0.5075510301,1.2356825007,0.3429538336,0.1867912107,0.2477095582
3,1.8580895815,0.4898496758,0.9101845791,0.3136265447,0.2212242265,0.1683365449
4,1.9069007076,0.4840377113,0.9230118541,0.3284107313,0.1831421338,0.1721558941
5,1.8634104144,0.5367624043,1.0002086543,0.3605607863,0.2050166570,0.2045430051
6,1.8953347182,0.4557692797,0.8638353393,0.3397230651,0.1813647733,0.1962283665
7,2.0563316712,0.5725547360,1.1773624371,0.3966760141,0.2187824299,0.2474052273
8,1.8769243393,0.4934662116,0.9261987431,0.3148614592,0.1759657560,0.2185344932
9,2.4173307473,0.5207517684,1.2588292614,0.3760298396,0.2074363270,0.1777480685
10,1.9491220340,0.4139244705,0.8067893059,0.3350838790,0.1623389723,0.1619059763
11,2.5595595882,0.5228907262,1.3383699719,0.3581546230,0.2052182065,0.2417664914
12,1.7230574588,0.4556632102,0.7851338930,0.3296833685,0.1422774435,0.1583973189
13,1.5541277458,0.4234872799,0.6581533316,0.2542737148,0.1568368101,0.1256063538
14,1.9464067815,0.4630330379,0.9012506450,0.3608251962,0.1854836248,0.1650060432
15,1.8283496957,0.4077429739,0.7454967422,0.2555692711,0.1985330199,0.1799811372
16,1.7986250363,0.4481095971,0.8059811403,0.3200501550,0.1578429685,0.1645024437
17,1.7699019609,0.5098758641,0.9024302918,0.2891821092,0.1894994205,0.2132680998
18,1.6531505272,0.4454978751,0.7364750471,0.3015551909,0.1771390758,0.1487622965
19,1.8239283392,0.4682724076,0.8540953146,0.2947609226,0.1956562895,0.1891708932
20,1.9338212818,0.5297725523,1.0244854362,0.3387151604,0.2315097604,0.2120402241
21,1.5720317537,0.5875849463,0.9237021936,0.3828118323,0.2032189230,0.1807175468
22,1.7635088417,0.4965682719,0.8757025380,0.3602014815,0.1780534782,0.1536552268
23,1.8874181372,0.5338146136,1.0075313836,0.3292715309,0.1954516707,0.1926460371
24,1.7671126591,0.4030746068,0.7122782402,0.2617054764,0.1524840902,0.1668271949
25,2.0004267749,0.4688677955,0.9379356921,0.3299114092,0.2319565073,0.1833060526
26,2.6895792862,0.5012623325,1.3481847865,0.3614189245,0.2330261598,0.2332267101
27,2.0474496595,0.4826171479,0.9881343151,0.2842864632,0.1897228530,0.2286260632
28,2.1320625826,0.4902306517,1.0452024293,0.3457935190,0.1644292382,0.1966203946
29,2.2349575022,0.5256571861,1.1748214717,0.4482399373,0.2025709711,0.2028119263
30,1.9055010129,0.4045627962,0.7708948179,0.2786963031,0.1386511041,0.1492639137
31,1.8928765869,0.3333758321,0.6310393072,0.2394025808,0.1397972722,0.1245923954
32,1.6643860671,0.5682561001,0.9457975356,0.3976606997,0.1908653315,0.2185299887
33,2.5701426826,0.4548083201,1.1689222759,0.3632364644,0.1887248701,0.1794783053
