idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,3.9306833379,0.2600972841,1.0223600608,0.1988971382,0.1806140755,0.1253487256
2,4.0184851596,0.5075192519,2.0394585819,0.3528795511,0.6443438800,0.1989837401
3,3.4658164309,0.4832777135,1.6749518401,0.3512892856,0.3892436964,0.1777336793
4,2.2426169606,0.2026026202,0.4543600722,0.1397264867,0.1717401768,0.0663980946
5,2.7367990462,0.2976812418,0.8146937385,0.2281863176,0.1430619755,0.1182047697
6,2.7080468313,0.4651477257,1.2596418247,0.3083988684,0.2898507420,0.1946578902
7,3.6477048572,0.6291494416,2.2949514739,0.4186235649,0.5479402320,0.2229889083
8,2.1097215108,0.3703687996,0.7813750234,0.2691677927,0.2207709495,0.1460270906
9,4.2976169550,0.8295664619,3.5651588918,0.6482650242,0.6278317790,0.3337510213
10,5.0837592943,0.3896113485,1.9806903141,0.2529465673,0.3053999048,0.1348826908
11,2.7802748118,0.3890844184,1.0817616080,0.2757677750,0.3096091225,0.1523315849
12,2.7617306090,0.7542289858,2.0829772763,0.5181111951,0.5078968510,0.2718922597
13,3.6415570181,0.6081697290,2.2146847450,0.4169624486,0.5685814859,0.2664688304
14,2.8983651232,0.2715133930,0.7869449489,0.1852747486,0.2264911179,0.1280606764
15,3.5772249740,0.3362454552,1.2028256397,0.2562539979,0.2314876145,0.1266790030
16,2.9661937436,0.3888368858,1.1533655380,0.2821012047,0.2380632900,0.1605659784
17,2.8050263064,0.2321182820,0.6510978872,0.1781032883,0.1859775819,0.0947555406
18,3.3812757844,0.5845940259,1.9766736235,0.3834996462,0.6431081839,0.2179401463
19,4.8751451071,0.4841074837,2.3600942304,0.3144960565,0.4953752518,0.1837659658
20,3.0400824354,0.3140040833,0.9545982982,0.2340112476,0.3556311067,0.1028891483
21,3.8135347120,0.5744714153,2.1907666835,0.4092116432,0.3947308262,0.2169860106
22,2.4200573097,0.2909959594,0.7042268987,0.2156798641,0.2115807397,0.1027936842
23,2.9173820171,0.3881223181,1.1323010713,0.2853306816,0.2101156419,0.1808883080
24,2.9088796233,0.1566868477,0.4557831784,0.1122342652,0.1450126582,0.0667362179
25,3.2047755585,0.5778707179,1.8519459527,0.4285654936,0.3787150265,0.2245703963
26,3.4752929942,0.6178700635,2.1472795030,0.4255225951,0.6918455176,0.2148535574
27,4.1485890400,0.6794979377,2.8189576970,0.4740299212,0.7325762184,0.2650525058
28,2.8309998273,0.4818662838,1.3641633663,0.3442841242,0.4410219475,0.1894434115
29,3.5265471041,0.3624549501,1.2782144548,0.2607199035,0.3098996620,0.1499127871
30,2.6953030051,0.2901793001,0.7821211397,0.2155901512,0.2101621491,0.1098192662
31,2.4440458795,0.4647028151,1.1357550005,0.3461674652,0.2895168457,0.1973313197
32,4.2929854887,0.4488728970,1.9270048329,0.3355175849,0.3586227949,0.2028875965
