idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.0031880795,0.2470982131,0.4949841949,0.1983739185,0.0858415559,0.1454698301
2,3.0607304920,0.3834546396,1.1736513078,0.2668916343,0.1451781168,0.3299897809
3,2.3133918520,0.3489477808,0.8072529530,0.2672400142,0.1437746202,0.2198340937
4,2.2752432651,0.3789201048,0.8621354163,0.2514722185,0.1475663005,0.2353450946
5,2.3597800813,0.3730931576,0.8804178017,0.3006360288,0.1631103691,0.2502322582
6,2.4503038586,0.4003414963,0.9809583131,0.3046880240,0.1348321469,0.2781811331
7,2.4802392455,0.3451178495,0.8559748346,0.2583274897,0.1381957231,0.2675486426
8,2.4424705062,0.3455868754,0.8440857505,0.2432363964,0.1355656187,0.2611360335
9,2.2722759833,0.4152654918,0.9435978038,0.2887863558,0.1674324801,0.2713315970
10,2.5173743395,0.3142733163,0.7911435821,0.2631868666,0.1154427475,0.2098466708
11,2.6220725197,0.3285046832,0.8613631025,0.2494855261,0.1165840872,0.2671319558
12,2.1367416717,0.3899021049,0.8331200754,0.2812459780,0.1445018570,0.2719585195
13,1.9715758362,0.3077977296,0.6068465662,0.2363607437,0.1031888667,0.1609712289
14,2.1643903096,0.3373868017,0.7302367241,0.2569039265,0.1367122388,0.2010310556
15,1.9203955265,0.2924616491,0.5616420427,0.2090916259,0.1138585494,0.1579313087
16,2.4845680772,0.3500072692,0.8696168877,0.2527891657,0.1630926415,0.2882859926
17,2.0253587036,0.3064771085,0.6207260791,0.2063730892,0.1066585365,0.2196237583
18,2.1641024274,0.3917560573,0.8478002344,0.2554253230,0.1686925380,0.2559971439
19,1.8522229172,0.2992755954,0.5543251165,0.2111642886,0.1121604216,0.1595269824
20,2.2277068003,0.3579213675,0.7973438644,0.2295116972,0.1524859556,0.2671628155
21,2.2539959909,0.4383555164,0.9880515766,0.3073350013,0.1808429977,0.3100603901
22,1.8439079090,0.4191807374,0.7729306771,0.2952560405,0.1327199526,0.2175795627
23,2.0769925443,0.3601787469,0.7480885720,0.2776668782,0.1346369586,0.1987678528
24,2.2805818581,0.3807564501,0.8683462524,0.2559949171,0.1351961187,0.2445421837
25,2.0395826890,0.2997176923,0.6112990167,0.1990285595,0.1207211024,0.2188446340
26,2.2149509829,0.3552973163,0.7869661400,0.2576129786,0.1730483209,0.2062438716
27,3.1942655385,0.3660178534,1.1691582155,0.3092276668,0.1740664127,0.3371966854
28,2.4933120817,0.4076447925,1.0163856862,0.2561374061,0.1506979854,0.2980683183
29,2.4891192297,0.2944280819,0.7328666003,0.2160201479,0.1086898024,0.2259075325
30,2.5837756669,0.4053219117,1.0472608928,0.3369281554,0.1363843609,0.3103668792
31,2.2729151424,0.3352545639,0.7620051747,0.2693790232,0.1378745156,0.1839848484
32,2.6994932788,0.2440013310,0.6586799529,0.2052442809,0.0999876108,0.1892823202
33,1.6573360259,0.3058408240,0.5068810157,0.2100406009,0.0954092176,0.1587360460
34,2.4453726999,0.3695388362,0.9036601817,0.2864948614,0.1313353154,0.2716664488
35,2.6158929774,0.3544811883,0.9272848511,0.2806663034,0.1499553115,0.2114209468
36,2.7673672041,0.3527325563,0.9761405082,0.2669724867,0.1833144609,0.2774204063
37,2.2853844888,0.4055806021,0.9269076171,0.2954310564,0.1512178735,0.2213727593
38,2.8443462128,0.3625239897,1.0311437372,0.2596362721,0.2303409983,0.2947293646
39,2.3386818259,0.4468848383,1.0451214496,0.3715210111,0.1816797761,0.2532382313
40,3.0729424036,0.3747719248,1.1516525395,0.2771372649,0.1296075757,0.3424796373
41,2.7682811381,0.4067819922,1.1260869162,0.3368154722,0.1949665177,0.3572660697
42,2.5712728065,0.3385122454,0.8704073312,0.2361645171,0.2173856599,0.1988663737
43,2.4557548494,0.2759063421,0.6775583376,0.2239643492,0.1213521612,0.1842062183
44,2.3551275131,0.3065409839,0.7219431050,0.2003486394,0.1045635652,0.2679356359
45,2.1780703792,0.2958133397,0.6443022730,0.2309942396,0.1004167290,0.2157503211
46,2.0159122953,0.2802616145,0.5649828346,0.1976582406,0.1092732552,0.2176836324
47,2.3365839216,0.4391511955,1.0261136226,0.3484353861,0.1856079938,0.2839210314
48,2.5011254550,0.3052441796,0.7634539875,0.2471744052,0.1556285108,0.2217043305
49,2.0101550118,0.3102072507,0.6235646597,0.1844278537,0.1002963207,0.2417182941
50,2.3091689733,0.3033050531,0.7003826180,0.2149427793,0.1114262019,0.2232083883
51,2.0547784946,0.2945461736,0.6052271431,0.2010929229,0.1391049264,0.1847512500
52,2.4968708070,0.2745525312,0.6855222001,0.2156154707,0.1354332219,0.2001833976
53,2.7273122468,0.3725206965,1.0159802577,0.3275960163,0.1237827942,0.3036481128
54,2.6421261312,0.3241548503,0.8564580004,0.2695442587,0.1393320856,0.2399154294
55,2.3032230312,0.3166011905,0.7292031536,0.2586386076,0.1438708284,0.2158875153
56,2.4621964475,0.3880848289,0.9555410869,0.2816130391,0.1623770362,0.2967970831
57,2.3018882975,0.3366710593,0.7749791716,0.2823099033,0.1400923850,0.2408726446
58,2.5731326458,0.3659309931,0.9415889845,0.3165615165,0.1207944819,0.2573901347
59,2.4429442925,0.3685978037,0.9004639007,0.3109336320,0.1631530489,0.2983254691
60,2.4145881086,0.3468369740,0.8374684330,0.2898019811,0.1374089996,0.2630066067
61,2.3682220067,0.3168131770,0.7502839377,0.2525961042,0.1063165964,0.2208356989
62,2.7387569952,0.3631018584,0.9944477546,0.2900394522,0.1762952530,0.2847611587
63,2.3662816421,0.2942493888,0.6962769270,0.2398839165,0.1061960008,0.1877597098
64,2.5766864269,0.3234792907,0.8335046978,0.2463605402,0.1552322700,0.2287704929
