idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.3867630733,0.2462042721,0.5876312650,0.1958817302,0.1710620042,0.1457720796
2,3.6862295704,0.3820377434,1.4082788269,0.2629744382,0.2892833436,0.3278711124
3,3.0783303711,0.3478292851,1.0707334522,0.2463347001,0.2866275478,0.2176698658
4,2.8667270137,0.3804305710,1.0905905946,0.2670422059,0.2963090702,0.2374949508
5,2.8615675682,0.3720687339,1.0646998219,0.2990266286,0.3248689887,0.2495451809
6,2.9196652278,0.4048452423,1.1820125765,0.2994798670,0.2731941514,0.2813106043
7,3.0347184193,0.3441704906,1.0444605273,0.2596700796,0.2756327433,0.2668142136
8,2.9114239434,0.3462151822,1.0079791710,0.2359763236,0.2716241774,0.2616108014
9,3.0010132144,0.4113331084,1.2344160938,0.2897151827,0.3385379528,0.2681472654
10,2.9233741460,0.3162693439,0.9245736230,0.2517899043,0.2180196769,0.2116522789
11,3.1287645383,0.3251373249,1.0172781322,0.2477896024,0.2401023257,0.2643937026
12,2.7189065296,0.3946394823,1.0729878652,0.2985231425,0.2925151586,0.2752628621
13,2.4473971562,0.3084390203,0.7548727812,0.2251772404,0.2068077175,0.1619310888
14,2.6314662450,0.3368780567,0.8864832348,0.2510233560,0.2730121814,0.2000458629
15,2.4647308526,0.2887953418,0.7118027889,0.2033007091,0.2248187857,0.1559514774
16,3.1406061560,0.3518389801,1.1049876669,0.2612412318,0.3301378773,0.2906993291
17,2.5584395215,0.3094097812,0.7916062126,0.2121768779,0.2114356883,0.2209297909
18,2.7795322896,0.3885436545,1.0799696337,0.2524408828,0.3371232703,0.2538979653
19,2.3745483871,0.3004663791,0.7134719558,0.2136695716,0.2257426022,0.1596581025
20,2.8187384120,0.3588657720,1.0115487364,0.2257000639,0.3003224474,0.2684692506
21,2.9155398646,0.4341147382,1.2656788251,0.3052764886,0.3640201483,0.3075961249
22,2.2843529675,0.4238284670,0.9681738163,0.2897466087,0.2683830101,0.2194693451
23,2.6489432602,0.3575740072,0.9471932563,0.2793430154,0.2673265827,0.1973304040
24,2.8071876781,0.3821145780,1.0726673351,0.2599234707,0.2742890309,0.2454144462
25,2.5981148005,0.3005152331,0.7807730748,0.1997069646,0.2397785391,0.2187148488
26,2.9301057396,0.3531245290,1.0346922093,0.2528400483,0.3439801203,0.2056441983
27,4.7456909854,0.3695585131,1.7538105044,0.3072473074,0.3454305206,0.3379804538
28,3.0475085594,0.4051063677,1.2345651231,0.2556923552,0.3061729864,0.2991296813
29,2.9199008176,0.2947397596,0.8606108652,0.2129699498,0.2176097201,0.2261466753
30,2.9862678722,0.4043858613,1.2076045056,0.3369564832,0.2721387898,0.3096501180
31,2.9594870383,0.3364091100,0.9955984007,0.2663885977,0.2766986529,0.1846184535
32,2.9247395791,0.2418497870,0.7073476441,0.1832547427,0.1982118890,0.1856047876
33,2.1190208544,0.3094454328,0.6557213254,0.2089306857,0.1896097762,0.1631767412
34,2.9693222397,0.3691724685,1.0961920209,0.2880696528,0.2665352070,0.2718677742
35,3.5916833552,0.3548492146,1.2745060175,0.2737813741,0.3002219936,0.2111880465
