idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.4395705504,0.3340618198,0.8149673776,0.2532332128,0.2311584640,0.1961558308
2,4.1382520577,0.5239795268,2.1683593551,0.3764957298,0.3993513736,0.4517221983
3,3.2754518890,0.4660371753,1.5264823462,0.3326091783,0.3946522487,0.2928009262
4,3.4089526094,0.5286682179,1.8022049009,0.3753338948,0.4032615074,0.3298589390
5,3.1413598105,0.5044075350,1.5845255585,0.4090770880,0.4399844205,0.3350924067
6,3.4594348383,0.5608406806,1.9401917892,0.3979761284,0.3740136219,0.3926399182
7,3.4323971880,0.4692765077,1.6107433655,0.3620792436,0.3758252805,0.3638012142
8,3.3559188671,0.4634898309,1.5554342682,0.3175126095,0.3636323608,0.3502271198
9,3.2862247159,0.5508069141,1.8100752948,0.3931216692,0.4548541944,0.3735011854
10,3.5161263125,0.4500161403,1.5823135920,0.3599855590,0.3070867144,0.2893671976
11,3.5061884152,0.4416682708,1.5485721743,0.3523759762,0.3280059174,0.3591538113
12,3.2994130407,0.5440338215,1.7949922853,0.3854994558,0.4032494131,0.3794661039
13,2.6111306189,0.4208710814,1.0989493673,0.3380023311,0.2821931791,0.2182136846
14,2.9368901723,0.4605302683,1.3525268191,0.3513475569,0.3732222110,0.2764764320
15,2.7582495962,0.3915497132,1.0799918385,0.2911541876,0.3060154342,0.2114395471
16,3.5211016000,0.4820470307,1.6973365712,0.3503997439,0.4508308723,0.3970414873
17,2.7915260193,0.4252533628,1.1871058272,0.2924076204,0.2931374865,0.3047396990
18,2.9382220553,0.5326347932,1.5649992969,0.3445173542,0.4589639490,0.3480558457
19,2.6362631838,0.4086838562,1.0773982039,0.3082414703,0.3126685984,0.2158517693
20,3.0965244444,0.4911742215,1.5209329832,0.3145795980,0.4072660147,0.3690237826
21,3.5637081058,0.5899422787,2.1023820806,0.4433749293,0.4950092652,0.4221968851
22,2.5613628464,0.5833069892,1.4940608501,0.4031378581,0.3655183470,0.2979108751
23,2.8871080367,0.4868152301,1.4054881633,0.3793364671,0.3639488589,0.2686533252
24,3.0342913671,0.5228618551,1.5865152133,0.3416883363,0.3826334674,0.3378113464
25,3.2460415186,0.4115734856,1.3359846222,0.2751539790,0.3226341940,0.2961377667
26,3.6126602200,0.4755846496,1.7181257448,0.3555242609,0.4632690497,0.2790739342
27,6.2073899748,0.5019192082,3.1156082611,0.4560180120,0.4773935218,0.4623732646
28,4.0361182186,0.5433350218,2.1929643801,0.3456769982,0.4116519886,0.4102925043
29,3.1249987061,0.4158575598,1.2995543362,0.2840765524,0.2994304793,0.3093472100
30,3.4671694627,0.5550934710,1.9246031314,0.4726178657,0.3735602054,0.4250513562
31,3.1659544646,0.4578903578,1.4496600225,0.3567014889,0.3766177591,0.2512863273
32,3.2616073874,0.3285387716,1.0715644844,0.2716263536,0.2711664214,0.2548082362
33,2.2963712044,0.4274853710,0.9816650963,0.2916240438,0.2599714154,0.2189877705
34,3.6213976284,0.5032243703,1.8223755412,0.3817713172,0.3627113736,0.3705717564
35,3.8741165806,0.4852822731,1.8800401006,0.3858439523,0.4105755502,0.2921821530
36,3.8229440695,0.4751979114,1.8166550372,0.3481089801,0.4785133355,0.3761501986
37,3.2926696210,0.5512479643,1.8150774256,0.3696389524,0.4289289711,0.2980823514
38,4.8053161290,0.4786311197,2.2999738392,0.3625874133,0.6154257455,0.4018802510
39,3.7758260182,0.6155037872,2.3240352141,0.4866254436,0.4915975596,0.3378398883
40,4.6334267873,0.5267020968,2.4404356043,0.4049689654,0.3711194321,0.4766514122
41,3.9099548996,0.5377195892,2.1024593423,0.3931038894,0.5393777434,0.4722651639
42,5.0107642639,0.4619542640,2.3147439174,0.2951247013,0.5673541533,0.2842520003
43,3.3272897039,0.3828347266,1.2738020443,0.2956855620,0.3476685268,0.2459464136
44,3.0137885015,0.4272557228,1.2876583845,0.2812836417,0.2874179856,0.3723164276
45,2.7751249011,0.4024090411,1.1167353503,0.3077313904,0.2648074671,0.2934954858
46,2.6014079043,0.3833700418,0.9973018569,0.2689813257,0.2989499115,0.2976466655
47,3.6325865725,0.6117789256,2.2223399103,0.4709379039,0.5066688418,0.3954431350
48,4.1953154602,0.4107595218,1.7232657722,0.3263469471,0.4258805686,0.3041569407
49,3.0340027080,0.4278667320,1.2981488236,0.2668104013,0.2766760536,0.3275403106
50,3.0724434395,0.4122774759,1.2666992260,0.2920984661,0.3029195378,0.3034034217
51,3.0134419148,0.4069455912,1.2263069017,0.2824655638,0.3843752974,0.2552527020
52,3.8502400323,0.3713968641,1.4299670739,0.2921239616,0.3670333207,0.2707951218
53,3.0537497430,0.5106130901,1.5592845926,0.4037092743,0.3384812745,0.4201724766
54,3.6611829546,0.4449655493,1.6291002845,0.3922719777,0.3825207488,0.3258772087
55,3.3240110493,0.4290406498,1.4261358604,0.3447988782,0.3920043680,0.2959744616
56,3.5003691871,0.5137078681,1.7981671925,0.3775161261,0.4375575790,0.3992865305
57,3.4119466438,0.4738105894,1.6166164503,0.3736805186,0.3849422190,0.3292998495
58,3.3138653283,0.4926915596,1.6327134771,0.4265081005,0.3508908135,0.3523212091
59,3.5122067805,0.5140448218,1.8054317087,0.4200185933,0.4215794229,0.4107699485
60,3.2049180194,0.4789860386,1.5351109861,0.3971559638,0.3858272258,0.3625198551
61,3.1785056614,0.4314936367,1.3715049671,0.3452904140,0.2896024418,0.3007741021
62,4.3981311962,0.4960481572,2.1816848752,0.3592070087,0.4816881729,0.3890237540
63,3.5700236627,0.3983990157,1.4222939133,0.3548132901,0.2875681909,0.2542172946
64,3.0592198399,0.4408731094,1.3487277631,0.3200656823,0.4231351776,0.3030560248
