idx,R_mean_s,X_jobs_per_s,N_mean,U_A,U_B,U_P
1,2.4975169300,0.3029100988,0.7565231001,0.2251855737,0.2013105656,0.1763538568
2,3.8366118286,0.4454315767,1.7089480561,0.3236114172,0.3282363656,0.3804364328
3,3.0863584919,0.4194467450,1.2945630232,0.2947045687,0.3823832410,0.2522495855
4,3.0210670306,0.4254242129,1.2852350635,0.3187105947,0.3187123508,0.2647908356
5,2.9819700669,0.4666932787,1.3916653874,0.3311555378,0.3581328379,0.3134064123
6,3.1213383810,0.3967348042,1.2383435714,0.3043769344,0.3136951546,0.2970642423
7,3.2107332665,0.5009867316,1.6085347652,0.3704695078,0.3828702746,0.3771916490
8,2.9370641768,0.4280291749,1.2571491561,0.2747832352,0.3052629566,0.3331303182
9,3.9582151734,0.4509327963,1.7848890364,0.3664788656,0.3605266783,0.2693543589
10,2.8778298871,0.3584039591,1.0314256252,0.3072932841,0.2858738006,0.2468060644
11,3.3379383132,0.4599325963,1.5352266347,0.3270594195,0.3536254414,0.3702566935
12,2.5766457733,0.3970939648,1.0231704861,0.3162076312,0.2479792658,0.2415656596
13,2.3346490468,0.3649291562,0.8519815066,0.2298842007,0.2725062278,0.1894165186
14,3.0880112255,0.4056259379,1.2525774497,0.3383755602,0.3225223521,0.2529598748
15,3.1679872100,0.3515847442,1.1138159730,0.2493786870,0.3423783388,0.2715867488
16,2.5985878067,0.3931228223,1.0215641726,0.2920785571,0.2769486468,0.2525540947
17,2.8402282364,0.4427454655,1.2574981727,0.2678512515,0.3336536436,0.3240810339
18,2.6241645597,0.3862161698,1.0134947852,0.2819766473,0.3064661071,0.2256917782
19,2.8193767860,0.4057507992,1.1439643841,0.2420001424,0.3425091210,0.2865569016
20,3.2204870636,0.4659746126,1.5006652119,0.3272320107,0.3997034525,0.3267195149
21,2.4407021258,0.5082581720,1.2405068009,0.3525603581,0.3511492015,0.2769049590
22,2.7185260655,0.4299355951,1.1687911218,0.3374625876,0.3083222688,0.2299846161
23,3.0238966142,0.4589947943,1.3879528044,0.3079640130,0.3424043849,0.2898781156
24,2.8455571300,0.3558921870,1.0127115503,0.2391238819,0.2643923894,0.2577732880
25,3.1649839630,0.4033436046,1.2765760401,0.3025455941,0.4061702545,0.2685144286
26,5.1573190640,0.4404825764,2.2717091885,0.3484797962,0.4018001566,0.3667841918
27,3.5608871956,0.4151762992,1.4783959679,0.2704479372,0.3264220194,0.3441863093
28,3.0829420348,0.4307229552,1.3278939040,0.3127335450,0.2889392867,0.3023181128
29,3.0354663804,0.4530270011,1.3751482311,0.3902460398,0.3491633786,0.3058813654
30,3.0012565703,0.3545853188,1.0642015177,0.2727668284,0.2436515793,0.2289431644
31,2.8244007802,0.2888468451,0.8158192546,0.2105663976,0.2454218605,0.1889135459
32,2.6994346209,0.4940093733,1.3335460052,0.3640452438,0.3306503870,0.3324605927
33,3.7606628772,0.3908429774,1.4698286761,0.3345056224,0.3236930981,0.2699130737
34,3.7475883532,0.4305007650,1.6133396528,0.3070732162,0.4139229555,0.2948309159
35,2.9856030234,0.4159197173,1.2417711656,0.2807652919,0.3166310178,0.2569342140
36,3.7671045977,0.4368645206,1.6457143441,0.3357067745,0.5110846000,0.3128664122
37,4.1822548902,0.4860017606,2.0325832397,0.3970132476,0.4056905054,0.3173045641
38,4.1682521979,0.4450090648,1.8549100123,0.3479195366,0.3497919731,0.3885932517
39,3.6316599176,0.5905561809,2.1446992113,0.4240380501,0.4872200832,0.4985050894
40,3.8578914727,0.3684581385,1.4214715107,0.2699530137,0.4873113030,0.2200358513
41,3.4409954751,0.3670514799,1.2630224813,0.2676512658,0.2840042054,0.2496754590
42,3.1372209357,0.3418376499,1.0724202318,0.2315950573,0.2844361549,0.2829363642
43,2.6268702690,0.3504950539,0.9207050366,0.2667551326,0.2516460936,0.2672035670
44,2.5871583708,0.3452658789,0.8932575087,0.2382454828,0.2579471578,0.2613865238
45,3.4690998439,0.5385559576,1.8683043884,0.4432039080,0.4577334987,0.3368659832
46,3.7275862205,0.3491219020,1.3013819913,0.2614013542,0.3358872127,0.2572182377
47,2.9440022807,0.3241848539,0.9544009491,0.2157933663,0.2158182992,0.2709290724
48,2.8358866138,0.4172182317,1.1831835984,0.2842835699,0.3128318078,0.2847901662
49,2.8969827789,0.3430075010,0.9936868235,0.2511613931,0.3207000017,0.2419839649
50,3.3429995902,0.3478649657,1.1629124377,0.2612614976,0.3363273624,0.2464695645
51,3.4529610006,0.4272075773,1.4751311038,0.3363425135,0.3843500951,0.3366476403
52,3.2763497448,0.4343500081,1.4230825382,0.3995982434,0.2781771976,0.3276627551
53,2.9497214838,0.3404516139,1.0042374398,0.2343543133,0.3340773114,0.2374324051
54,3.3075361417,0.4439119936,1.4682549626,0.3317346325,0.3691158349,0.3156638416
55,3.1399207767,0.4003025384,1.2569182574,0.3437483446,0.2840284967,0.2796182241
56,3.2202331940,0.4679237567,1.5068236135,0.3874363684,0.3383160824,0.3654700258
57,2.8797204952,0.4406529894,1.2689574447,0.3462627472,0.3531790560,0.3392714524
58,3.3058655014,0.4236708541,1.4005988606,0.3631226753,0.3108794628,0.2917289923
59,3.8307072555,0.3548782125,1.3594345436,0.2718313707,0.3065253627,0.2711069394
60,3.2157598757,0.3960216801,1.2735106289,0.3275033450,0.2869781710,0.2688634297
61,3.5116854559,0.3912289120,1.3738728802,0.2929824286,0.4084095816,0.2689529262
62,3.4903036261,0.4830931098,1.6861416330,0.3307835065,0.3378918525,0.4569146248
63,3.3165690824,0.4916257209,1.6305106659,0.3358720492,0.4291450508,0.2765894066
64,3.3402453884,0.3837773583,1.2819105511,0.2906031571,0.3357209195,0.3493541737
